id,name,description
1,사과,새콤달콤한 과즙이 풍부한 기본 과일 재료
2,아보카도,부드럽고 고소한 풍미를 더하는 녹색 과일
3,베이컨,짭짤한 감칠맛과 바삭한 식감을 주는 훈제 고기
4,돼지고기,진한 육향이 살아 있는 고기 재료
5,빵,여러 요리의 바탕이 되는 담백한 빵
6,벌레,독특한 식감을 가진 특별한 단백질 재료
7,치즈,고소하고 진한 맛을 더하는 숙성 유제품
8,체리,작고 달콤한 향이 좋은 붉은 과일
9,닭고기,담백하고 활용도가 높은 기본 육류 재료
10,닭다리,쫄깃한 살과 진한 맛이 있는 닭고기 부위
11,용과,화려한 색과 산뜻한 단맛을 가진 열대 과일
12,가지,부드러운 식감으로 양념을 잘 머금는 채소
13,달걀,다양한 요리에 쓰이는 부드러운 기본 재료
14,생선,신선한 바다 향을 품은 해산물 재료
15,생선살,손질되어 바로 쓰기 좋은 부드러운 생선살
16,생선 스테이크,두툼하게 썬 생선 고기 재료
17,굼벵이,진한 풍미가 있는 특수 단백질 재료
18,굼벵이 묶음,여러 마리를 모아 둔 특별한 식재료
19,꿀,진한 단맛과 향을 더하는 황금빛 감미료
20,벌집,꿀의 향과 식감이 살아 있는 자연 재료
21,잼,과일의 단맛을 졸여 만든 달콤한 재료
22,레몬,상큼한 산미와 향을 더하는 노란 과일
23,마멀레이드,감귤 향이 짙은 달콤쌉싸름한 과일 절임
24,칸탈루프 멜론,향긋하고 달콤한 주황빛 멜론
25,허니듀 멜론,부드럽고 산뜻한 단맛의 초록 멜론
26,수박,시원한 과즙이 많은 여름 과일
27,올리브,짭짤하고 고소한 향을 가진 작은 열매
28,양파,익힐수록 단맛이 깊어지는 향신 채소
29,복숭아,부드러운 과육과 향긋한 단맛의 과일
30,초록 피망,아삭하고 산뜻한 향을 가진 초록 채소
31,페퍼로니,짭짤하고 매콤한 맛을 내는 가공 고기
32,빨간 피망,달큰하고 선명한 색을 더하는 붉은 채소
33,피클,새콤하게 절여 입맛을 돋우는 채소 절임
34,파인애플,달콤한 과즙과 상큼한 산미의 열대 과일
35,감자,든든하고 포근한 맛을 내는 뿌리채소
36,붉은 감자,고소한 맛과 단단한 식감의 감자
37,갈비,뼈 주변의 진한 맛이 살아 있는 고기 부위
38,정어리,작지만 깊은 바다 풍미를 가진 생선
39,소시지,양념한 고기를 채워 만든 풍미 좋은 재료
40,새우,탱글한 식감과 단맛이 좋은 해산물
41,스테이크 고기,두툼하고 육즙이 풍부한 고기 재료
42,딸기,상큼하고 달콤한 붉은 과일
43,토마토,신선한 산미와 감칠맛을 가진 붉은 채소
44,순무,은은한 단맛과 아삭한 식감의 뿌리채소
45,초콜릿,진하고 달콤한 풍미를 더하는 디저트 재료
46,옥수수,고소하고 달콤한 맛을 가진 노란 곡물
47,땅콩,고소한 향과 바삭한 식감을 가진 견과류
